번호,출처,제목,날짜,URL,분류,담당부서
163,경남교육청,2025학년도 대안교육 위탁교육기관 지정 현황,2025-03-13,https://www.gne.go.kr/user/bbs/BD_selectBbs.do?q_bbsSn=1416&q_bbsDocNo=20250313152952661,위탁교육,
164,경남교육청,2025년 일반고 3학년 직업교육 위탁 훈련과정 운영 적합 목록,2024-12-03,https://www.gne.go.kr/user/bbs/BD_selectBbs.do?q_bbsSn=1464&q_bbsDocNo=20241203175302922,위탁교육,
165,경남교육청,2025학년도 일반고 3학년 직업교육 위탁과정 운영계획 및 훈련과정 최종 승인 목록,2025-01-31,https://www.gne.go.kr/user/bbs/BD_selectBbs.do?q_bbsSn=1464&q_bbsDocNo=20250131222908591,위탁교육,
166,경남교육청,2024 대안교육위탁교육기관 지정 및 운영 지침(주요 변경사항),2024-03-13,https://www.gne.go.kr/user/bbs/BD_selectBbs.do?q_bbsSn=1558&q_bbsDocNo=20250313161406666,위탁교육,
167,서울시교육청,2025학년도 서울특별시교육청 대안교육 위탁교육기관 지정 계획 공고,2025-01-10,https://www.sen.go.kr/user/bbs/BD_selectBbs.do?q_bbsSn=1100&q_bbsDocNo=20250110165101285,위탁교육,
168,서울시교육청,서울특별시교육청 대안교육 위탁교육기관 안내 페이지,,https://www.sen.go.kr/www/eduinfo/edumaterial/alternative/alternative_2.jsp,위탁교육,
169,서울시교육청,서울 대안교육 위탁교육 센터,,https://daeancenter.sen.go.kr/,위탁교육,
170,서울시교육청,서울특별시교육청 대안교육 위탁교육기관의 지정 및 위탁 등에 관한 규칙,,https://www.ulex.co.kr/법률/1967491-2017632-서울특별시교육청대,위탁교육 법령,
171,서울시교육청,서울시교육청 계약길잡이 - 위탁/용역 계약 안내,,https://contract.sen.go.kr/fus/MI000000000000000097/contract/view0010v.do?gb=A2,계약교육,
172,서울시교육청,2026년 서울시교육청 중등교육과 공지(위탁교육 관련),2025-02-18,https://buseo.sen.go.kr/buseo/bu13/user/bbs/BD_selectBbs.do?q_bbsSn=1288&q_bbsDocNo=20250218093738416,위탁교육,
173,서울시교육청,진로직업교육과 일반계고 직업위탁과정 추진 현황,,https://buseo.sen.go.kr/buseo/bu16/user/bbs/BD_selectBbsList.do?q_bbsSn=1356,위탁교육,
174,서울시교육청,진로직업교육과 부서업무방 - 위탁기관 운영 산학협력,,https://buseo.sen.go.kr/buseo/bu16/user/bbs/BD_selectBbs.do?q_bbsSn=1345&q_bbsDocNo=20241209150005434,위탁교육,
175,전북교육청,2025학년도 일반고 3학년 직업교육 위탁과정 안내,,https://www.jbe.go.kr/board/view.jbe?boardId=BBS_0000191&orderBy=REGISTER_DATE+DESC&paging=ok&startPage=5&searchOperation=AND&dataSid=775956,위탁교육,
176,전북교육청,2025학년도 대안교육 위탁교육기관 운영지침,,https://www.jbe.go.kr/board/download.do?boardId=BBS_0000004&command=update&startPage=1&dataSid=743300&fileSid=615417,위탁교육,
177,전북교육청,창의인재교육과 위탁교육 안내,,https://www.jbe.go.kr/office/board/view.jbe?boardId=BBS_0000191&menuCd=DOM_000000713003000000,위탁교육,
178,전남교육청,대안교육 위탁교육기관 운영 매뉴얼,,https://www.jne.go.kr/upload/main/na/bbs_139/ntt_5056637/doc_a8c62397-18ba-4da9-8e02-27fd38de789c1675a8247b68100.pdf,위탁교육,
179,부산시교육청,부산시교육청 공고 목록 - 교육위탁 관련,,https://www.pen.go.kr/main/na/ntt/selectNttList.do?mi=30361&bbsId=2342,위탁교육,
180,부산시교육청,방과후학교 길라잡이 - 외부강사 위탁 안내,2022-01-01,https://home.pen.go.kr/upload/nambu/na/bbs_3894/ntt_670858/doc_5783v6f8c-59v02-4fvce-96vad-045evd7aeva601_v7241.pdf,외부교육,
181,경북교육청,2025 하반기 특수분야연수기관 지정 신청 안내,2025-08-27,https://www.gbeti.or.kr/,특수분야연수,
182,강원교육청,2025년도 특수분야 연수기관 지정 운영 지침,,https://www.geti.or.kr/,특수분야연수,
183,교육부,초·중등교육법 시행령 - 위탁교육 관련 조항,,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=141&boardSeq=93000,법령,
184,교육부,교육부 2025년 주요업무 추진계획 - 위탁교육 포함,,https://www.moe.go.kr/sub/infoRenew.do?m=031101&page=72759,정책,
185,교육부,교육부 2026년 업무계획,,https://www.moe.go.kr/sub/infoRenew.do?page=72759&m=031101&s=moe,정책,
186,교육부,위탁교육기관 적응 기간 출결 관련 Q&A,,https://star.moe.go.kr/web/contents/m30102.do?schM=view&id=24782,위탁교육,
187,교육부,위탁교육생 과세특례 입력 문의 Q&A,,https://star.moe.go.kr/web/contents/m30102.do?schM=view&id=31000,위탁교육,
188,교육부,2025년 하반기 교육기부 진로체험 인증기관 선정 결과,2025-12-24,https://www.moe.go.kr/boardCnts/listRenew.do?boardID=72761,교육기관,
189,경기도교육청,2025 경기특수교육 정책추진 기본계획,2025-01-18,https://www.goe.go.kr/resource/old/BBSMSTR_000000000170/BBS_202501180941595981.pdf,특수교육,
190,조달청,나라장터 교육 위탁 입찰공고 검색 서비스,,https://www.data.go.kr/data/15058815/openapi.do,나라장터 API,
191,조달청,나라장터 입찰공고정보서비스 API,,https://www.data.go.kr/data/15129394/openapi.do,나라장터 API,
192,NEIS,나이스 교육정보 개방 포털 - 학교기본정보,,https://open.neis.go.kr/portal/data/dataset/searchDatasetPage.do,교육정보,
193,한국산업인력공단,과정평가형 자격 교육·훈련기관 안내,,https://c.q-net.or.kr/cbq/introduce/oprIsptList.do,직업훈련,
